PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
arista/connectivity-monitor/clients/client/host-status/icmp-stats/ip-addr,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/icmp-stats/jitter,leaf,read,binary,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/icmp-stats/latency,leaf,read,binary,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/icmp-stats/packet-loss,leaf,read,uint8,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/host-unreachable,leaf,read,boolean,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/host-unreachable-http,leaf,read,boolean,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/host-unreachable-icmp,leaf,read,boolean,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/interface-name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/last-response-at-http,leaf,read,decimal64,arista-eos-types:seconds,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/last-response-at-icmp,leaf,read,decimal64,arista-eos-types:seconds,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/sequential-failed-probe-count-http,leaf,read,uint32,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/reachability-stats/sequential-failed-probe-count-icmp,leaf,read,uint32,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/tcp-stats/dport,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/tcp-stats/interface-name,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/tcp-stats/ip-addr,leaf,read,string,,,,gNMI-only access
arista/connectivity-monitor/clients/client/host-status/tcp-stats/latency,leaf,read,binary,,,,gNMI-only access
arista/eos/mlag,container,,,,augmented,,Top-level data definitions for MLAGs
arista/eos/qos,container,,,,augmented,,Augment: missing description
arista/eos/bridging/igmpsnooping/config/vlanConfig/vlanId,leaf,read+write,uint16,oc-vlan-types:vlan-id,,,
arista/eos/bridging/igmpsnooping/config/vlanConfig/ipGroup/addr,leaf,read+write,string,inet:ipv4-address,,,
arista/eos/bridging/igmpsnooping/config/vlanConfig/ipGroup/intf/index,leaf,read+write,string,eos-types:Arnet-IntfId,,,
arista/eos/bridging/igmpsnooping/config/vlanConfig/ipGroup/intf/value,leaf,read+write,boolean,,,,
arista/eos/evpn/evpn-instances/evpn-instance/name,leafref,read+write,string,,,,
arista/eos/evpn/evpn-instances/evpn-instance/config/instance-type,leaf,read+write,enumeration,evpn-exp:instance-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/config/maximum-routes,leaf,read+write,uint32,,,,
arista/eos/evpn/evpn-instances/evpn-instance/config/name,leaf,read+write,string,,,,
arista/eos/evpn/evpn-instances/evpn-instance/config/redistribute,leaf-list,read+write,enumeration,evpn-exp:redistribute-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/config/route-distinguisher,leaf,read+write,union,route-distinguisher-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/route-target/config/auto-export,leaf,read+write,boolean,,,,
arista/eos/evpn/evpn-instances/evpn-instance/route-target/config/auto-import,leaf-list,read+write,uint32,oc-inet:as-number,,,
arista/eos/evpn/evpn-instances/evpn-instance/route-target/config/export,leaf-list,read+write,union,arista-bgp:route-target-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/route-target/config/import,leaf-list,read+write,union,arista-bgp:route-target-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vlans/vlan/vlan-id,leafref,read+write,uint16,oc-vlan-types:vlan-id,,,
arista/eos/evpn/evpn-instances/evpn-instance/vlans/vlan/config/etid,leaf,read+write,uint32,etid-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vlans/vlan/config/vlan-id,leaf,read+write,uint16,oc-vlan-types:vlan-id,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/config/flexible-cross-connect,leaf,read+write,enumeration,evpn-exp:fxc-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/config/flow-label,leaf,read+write,boolean,,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/config/mpls-control-word,leaf,read+write,boolean,,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/config/mtu,leaf,read+write,uint32,,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/name,leafref,read+write,string,,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/config/local-etid,leaf,read+write,uint32,etid-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/config/name,leaf,read+write,string,,,,
